,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
255,PRIM,Primoris Services Corporation,2.18B,-0.37%,148781,5.72B
256,IESC,"IES Holdings, Inc.",2.13B,-1.91%,41954,2.44B
257,RKLB,"Rocket Lab USA, Inc.",2.12B,-0.12%,5136975,244.59M
258,JBI,"Janus International Group, Inc.",2.12B,2.01%,381316,1.07B
259,ATMU,Atmus Filtration Technologies Inc.,2.11B,4.02%,6018575,1.63B
260,TRN,"Trinity Industries, Inc.",2.11B,1.55%,196198,2.98B
261,HEES,"H&E Equipment Services, Inc.",2.09B,-0.35%,65085,1.47B
262,ENR,"Energizer Holdings, Inc.",2.09B,-1.51%,161593,2.91B
263,TNC,Tennant Company,2.08B,1.29%,44004,1.24B
264,SBLK,Star Bulk Carriers Corp.,2.07B,-0.87%,1298472,-
265,TGH,Textainer Group Holdings Limited,2.07B,0.03%,278359,789.86M
266,SXI,Standex International Corporation,2.04B,2.89%,31965,735.83M
267,KMT,Kennametal Inc.,1.98B,1.17%,116681,2.07B
268,HNI,HNI Corporation,1.97B,2.07%,127883,2.43B
269,HLMN,Hillman Solutions Corp.,1.92B,1.22%,278809,1.48B
270,B,Barnes Group Inc.,1.91B,0.29%,79420,1.45B
271,POWL,"Powell Industries, Inc.",1.90B,6.70%,313676,766.47M
272,SFL,SFL Corporation Ltd.,1.86B,-0.37%,289317,670.39M
273,MRCY,"Mercury Systems, Inc.",1.84B,-0.99%,230388,895.17M
274,AZZ,AZZ Inc.,1.80B,1.43%,31356,1.51B
275,EPAC,Enerpac Tool Group Corp.,1.80B,0.54%,32688,600.79M
276,HURN,Huron Consulting Group Inc.,1.78B,1.53%,71196,1.40B
277,CODI,Compass Diversified,1.78B,-1.34%,64313,2.06B
278,UPWK,Upwork Inc.,1.73B,0.83%,845912,689.14M
279,UP,Wheels Up Experience Inc.,1.71B,1.42%,341312,1.25B
280,GIC,Global Industrial Company,1.71B,0.57%,16111,1.21B
281,ULCC,"Frontier Group Holdings, Inc.",1.68B,2.73%,756540,3.59B
282,JELD,"JELD-WEN Holding, Inc.",1.60B,2.88%,160675,4.30B
283,ACHR,Archer Aviation Inc.,1.58B,3.33%,8274571,-
284,HOLI,Hollysys Automation Technologies Ltd.,1.58B,0.28%,190570,786.22M
285,NVEE,"NV5 Global, Inc.",1.57B,1.23%,19100,861.74M
286,BBU,Brookfield Business Partners L.P.,1.57B,-0.95%,13290,55.07B
287,GBX,"The Greenbrier Companies, Inc.",1.55B,-0.18%,98063,3.99B
288,MRTN,"Marten Transport, Ltd.",1.55B,-1.00%,306296,1.13B
289,ENVX,Enovix Corporation,1.52B,-8.70%,4560433,7.64M
290,GEO,"The GEO Group, Inc.",1.50B,4.22%,2899982,2.41B
291,NSSC,"Napco Security Technologies, Inc.",1.49B,-0.44%,208054,177.41M
292,CDRE,"Cadre Holdings, Inc.",1.47B,0.71%,100464,482.53M
293,HLIO,"Helios Technologies, Inc.",1.46B,-0.84%,20565,835.60M
294,SCS,Steelcase Inc.,1.44B,1.26%,193405,3.19B
295,EVEX,"Eve Holding, Inc.",1.43B,-1.32%,25327,-
296,DSGR,"Distribution Solutions Group, Inc.",1.42B,-0.03%,27177,1.57B
297,ZIM,ZIM Integrated Shipping Services Ltd.,1.40B,-15.52%,16319829,6.15B
298,PRG,"PROG Holdings, Inc.",1.40B,0.79%,497156,2.41B
299,ASPN,"Aspen Aerogels, Inc.",1.40B,1.14%,1691133,238.72M
300,DAC,Danaos Corporation,1.39B,-0.89%,44096,973.58M
301,VVX,"V2X, Inc.",1.38B,1.26%,20810,3.96B
302,KFRC,Kforce Inc.,1.37B,0.11%,35931,1.53B
303,NMM,Navios Maritime Partners L.P.,1.37B,-5.50%,286850,1.35B
304,CMRE,Costamare Inc.,1.36B,-1.04%,180457,1.51B
305,FLYX,"flyExclusive, Inc.",1.33B,-0.35%,12647,497.41M
306,CDLR,Cadeler A/S,1.30B,-0.63%,46807,-
307,KAMN,Kaman Corporation,1.30B,0.05%,93259,775.85M
308,ALGT,Allegiant Travel Company,1.28B,0.93%,103043,2.51B
309,LNN,Lindsay Corporation,1.28B,2.75%,30989,659.28M
310,CTOS,"Custom Truck One Source, Inc.",1.26B,3.06%,414825,1.87B
311,APOG,"Apogee Enterprises, Inc.",1.25B,1.08%,36544,1.40B
312,WNC,Wabash National Corporation,1.24B,-0.15%,151396,2.54B
313,MEG,"Montrose Environmental Group, Inc.",1.23B,-1.38%,110022,624.21M
314,CMCO,Columbus McKinnon Corporation,1.21B,0.43%,14988,1.00B
315,ZIP,"ZipRecruiter, Inc.",1.20B,-0.33%,268690,645.72M
316,VSEC,VSE Corporation,1.20B,-0.33%,22819,860.49M
317,NX,Quanex Building Products Corporation,1.16B,2.09%,41232,1.11B
318,ARLO,"Arlo Technologies, Inc.",1.09B,3.00%,1046686,491.18M
319,AMRC,"Ameresco, Inc.",1.09B,-0.34%,175871,1.37B
320,TGI,"Triumph Group, Inc.",1.05B,1.53%,238338,1.36B
321,RYI,Ryerson Holding Corporation,1.04B,0.55%,45672,5.11B
322,TDCX,TDCX Inc.,1.04B,0.35%,339509,498.75M
323,BXC,BlueLinx Holdings Inc.,1.03B,0.24%,14378,3.14B
324,SP,SP Plus Corporation,1.02B,0.09%,46937,1.78B
